gate_id,current_observation_status,gate_progress,formal_readiness_status,formal_acceptance_result,evidence_archive_status,required_trials,required_samples_per_trial,minimum_raw_artifacts,minimum_fields,threshold,offline_evaluable_when_complete,minimum_future_authorization
amcl_three_cold_start_convergence,USER_OBSERVED,PARTIAL,NOT_RUN,NOT_ASSESSED,UNSEALED,3,30,bag_or_jsonl_per_run|initialpose_acceptance|nomotion_results|status_stream|map_scan_odom_tf_owner_evidence,session_id|run_id|accepted_initialpose_time|first_new_amcl_time|ready_time|nomotion_success_count|covariance|stable_window|map_id|hashes,3/3 READY within 45 s; no guessed pose; no velocity,yes,hardware_read_only+zero_motion_localization
zero_motion_absolute_localization_error,NO_USER_OBSERVATION_RECORDED,NONE,NOT_RUN,NOT_ASSESSED,UNSEALED,3,30,surveyed_truth_record|stationary_amcl_samples|ready_window|calibration_and_frame_transform,truth_x|truth_y|amcl_x|amcl_y|frame_id|reference_point|calibration_id|timestamps|hashes,position error <=0.10 m,yes,hardware_read_only+zero_motion_localization
repeat_localization_error,NO_USER_OBSERVATION_RECORDED,NONE,NOT_RUN,NOT_ASSESSED,UNSEALED,3,30,exact_xyyaw_csv|repeatability_provenance_manifest|ready_status_window,measurement_class|x|y|yaw|sample_count|fixed_mark|map_id|conversion_tool|hashes,x stddev <=0.05 m; y stddev <=0.05 m; circular yaw stddev <=5 deg,yes,hardware_read_only+zero_motion_localization
motion_convergence_during_navigation,USER_OBSERVED,PARTIAL,NOT_RUN,NOT_ASSESSED,UNSEALED,5,,bag_with_particlecloud_amcl_ready_scan_odom_tf|navigation_trial_manifest,request_id|trial_id|particle_spread|amcl_covariance|ready_history|scan_odom_tf_freshness|timestamps|hashes,quantitative health evidence for every accepted navigation trial,yes,real_motion_with_prerequisite_authorizations
point_to_point_navigation_functional,USER_OBSERVED,PARTIAL,NOT_RUN,NOT_ASSESSED,UNSEALED,5,,goal_action_status_bag_or_logs|gateway_status|trial_manifest,request_id|ingress|goal_frame|accepted_time|terminal_state|terminal_time|map_id|hashes,5/5 successful empty-space trials through resolved ingress,yes,real_motion_with_prerequisite_authorizations
navigation_control_endpoint_error,USER_OBSERVED,PARTIAL,NOT_RUN,NOT_ASSESSED,UNSEALED,5,,raw_goal_pose|raw_final_amcl_pose|endpoint_manifest,request_id|goal_x|goal_y|amcl_x|amcl_y|selection_rule|timestamps|frames|hashes,goal versus final AMCL position error <=0.10 m,yes,real_motion_with_prerequisite_authorizations
amcl_estimation_error,USER_OBSERVED,PARTIAL,NOT_RUN,NOT_ASSESSED,UNSEALED,5,,raw_final_amcl_pose|independent_physical_truth|calibration_and_transform|endpoint_manifest,amcl_x|amcl_y|truth_x|truth_y|reference_point|instrument|calibration_id|timestamps|frames|hashes,physical truth versus final AMCL position error <=0.10 m,yes,real_motion_with_prerequisite_authorizations
physical_total_endpoint_error,USER_OBSERVED,PARTIAL,NOT_RUN,NOT_ASSESSED,UNSEALED,5,,raw_goal_pose|independent_physical_truth|calibration_and_transform|endpoint_manifest,goal_x|goal_y|truth_x|truth_y|reference_point|instrument|calibration_id|timestamps|frames|hashes,goal versus physical truth position error <=0.15 m,yes,real_motion_with_prerequisite_authorizations
cancel_behavior,NO_USER_OBSERVATION_RECORDED,NONE,NOT_RUN,NOT_ASSESSED,UNSEALED,3,,cancel_ingress_log|action_status|complete_driver_command_trace|clock_binding,request_id|cancel_time|action_terminal_state|last_nonzero_time|first_continuous_zero_time|clock_domain|hashes,3/3; complete command chain zero within 0.5 s,yes,real_motion_with_prerequisite_authorizations
independent_driver_timeout,NO_USER_OBSERVATION_RECORDED,NONE,NOT_RUN,NOT_ASSESSED,UNSEALED,1,,driver_timeout_configuration|input_and_driver_command_trace|clock_binding|physical_outcome_record,timeout_setting|input_stop_time|driver_zero_time|clock_domain|owner|hashes,independent driver timeout stops output without upstream assistance,yes,real_motion_with_prerequisite_authorizations
